Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Rhode Island,New York,Florida,Georgia,New Hampshire,North Carolina,New Jersey,Tennessee,Nevada,Maryland,Colorado,Oklahoma,Pennsylvania,South Carolina,Hawaii,Indiana,Kentucky,Minnesota,Vermont,Virginia,DC,Kansas,Missouri,Connecticut,Iowa,Ohio,Louisiana,South Dakota,Michigan,North Dakota,New Mexico,Wyoming,Mississippi,Arkansas,Delaware,Alaska,Maine,Puerto Rico,Montana,Alabama,Idaho,Virgin Islands,Guam,West Virginia,Northern Mariana Islands
6,1,5,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,7,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,10,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,12,0,1,0,4,0,0,0,0,11,1,0,0,0,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,14,1,5,0,3,1,2,0,1,22,3,1,0,1,2,0,0,0,6,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,19,2,5,0,0,0,0,4,0,45,5,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,12,0,15,0,4,2,0,7,0,17,1,4,0,0,2,2,2,2,0,0,2,4,1,1,3,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,60,1,13,1,1,0,0,0,0,36,1,6,0,5,5,1,0,1,4,0,4,1,0,2,1,0,0,3,3,0,0,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,7,0,51,1,7,1,1,1,2,31,9,5,1,0,4,3,0,3,5,1,2,2,0,2,2,1,0,3,0,0,0,0,5,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6,23,3,3,3,2,6,1,6,0,44,3,9,0,1,8,1,3,4,17,0,4,1,0,5,0,2,1,2,6,0,0,1,1,1,7,3,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
81,7,50,0,13,2,8,1,2,10,0,109,20,0,1,8,6,10,4,0,15,0,6,2,0,1,4,4,0,7,0,4,1,3,2,1,1,0,10,0,2,0,0,5,3,1,1,0,0,0,0,0,0,0,0
92,14,68,0,15,11,17,3,0,0,15,95,24,10,1,2,21,8,8,5,29,1,19,1,0,0,0,5,0,13,0,1,2,5,1,8,22,1,13,0,4,1,5,1,0,0,1,3,4,6,1,0,0,0,0
98,20,61,3,15,8,11,2,14,6,0,189,0,24,0,7,25,6,2,9,25,1,6,6,2,3,7,7,3,12,6,2,1,9,1,13,41,0,8,0,3,1,0,2,0,0,1,1,2,6,4,1,0,0,0
66,28,97,1,26,6,11,2,8,3,0,122,39,32,6,7,23,7,5,5,33,4,21,9,3,4,3,14,3,3,1,1,0,6,4,11,26,0,20,0,4,0,4,7,3,0,9,1,0,11,0,0,3,0,0
119,10,110,5,33,14,7,2,11,7,1,218,32,21,4,2,78,13,19,7,25,2,13,5,3,5,1,19,4,6,5,2,4,15,0,13,34,1,1,0,4,7,2,6,1,2,5,0,2,6,0,1,0,0,0
114,55,144,2,21,25,19,3,11,20,2,425,69,24,9,8,92,21,10,18,22,8,20,14,4,6,4,6,2,16,9,6,7,27,7,17,59,1,11,4,2,5,9,0,8,3,15,0,0,10,4,0,0,1,0
118,127,161,8,38,34,60,7,14,8,10,1012,116,51,13,24,159,25,27,28,33,11,38,13,2,9,9,17,5,11,5,5,5,28,9,23,84,0,15,2,5,2,13,11,10,3,11,0,4,12,2,1,5,1,0
202,134,174,19,72,49,82,4,15,13,11,1774,108,89,5,38,308,57,17,23,62,15,48,21,10,17,12,12,3,16,3,13,14,63,6,30,112,3,254,12,7,1,16,29,4,3,9,1,7,27,12,0,4,3,0
