,date,state,fips,cases,deaths
256,2020-03-02,Georgia,13,0,0
271,2020-03-03,Georgia,13,0,0
287,2020-03-04,Georgia,13,0,0
305,2020-03-05,Georgia,13,0,0
326,2020-03-06,Georgia,13,0,0
355,2020-03-07,Georgia,13,0,0
389,2020-03-08,Georgia,13,1,0
424,2020-03-09,Georgia,13,1,0
461,2020-03-10,Georgia,13,2,0
502,2020-03-11,Georgia,13,3,0
548,2020-03-12,Georgia,13,3,1
596,2020-03-13,Georgia,13,4,1
647,2020-03-14,Georgia,13,6,1
699,2020-03-15,Georgia,13,9,1
752,2020-03-16,Georgia,13,11,1
805,2020-03-17,Georgia,13,14,1
859,2020-03-18,Georgia,13,19,3
913,2020-03-19,Georgia,13,28,10
967,2020-03-20,Georgia,13,48,14
1021,2020-03-21,Georgia,13,55,20
1075,2020-03-22,Georgia,13,62,25
1129,2020-03-23,Georgia,13,80,25
1183,2020-03-24,Georgia,13,109,38
1237,2020-03-25,Georgia,13,138,47
1291,2020-03-26,Georgia,13,164,56
1345,2020-03-27,Georgia,13,219,64
1399,2020-03-28,Georgia,13,244,79
1454,2020-03-29,Georgia,13,268,83
1509,2020-03-30,Georgia,13,303,102
1564,2020-03-31,Georgia,13,411,125
1619,2020-04-01,Georgia,13,474,154
1674,2020-04-02,Georgia,13,544,176
1729,2020-04-03,Georgia,13,596,198
1784,2020-04-04,Georgia,13,638,208
1839,2020-04-05,Georgia,13,674,219
1894,2020-04-06,Georgia,13,755,294
1949,2020-04-07,Georgia,13,915,348
2004,2020-04-08,Georgia,13,1020,370
2059,2020-04-09,Georgia,13,1088,412
2114,2020-04-10,Georgia,13,1185,425
2169,2020-04-11,Georgia,13,1226,432
2224,2020-04-12,Georgia,13,1210,438
2279,2020-04-13,Georgia,13,1312,479
2334,2020-04-14,Georgia,13,1391,517
2389,2020-04-15,Georgia,13,1458,569
2444,2020-04-16,Georgia,13,1564,611
2499,2020-04-17,Georgia,13,1665,661
2554,2020-04-18,Georgia,13,1701,670
2609,2020-04-19,Georgia,13,1761,682
2664,2020-04-20,Georgia,13,1844,767
2719,2020-04-21,Georgia,13,1918,810
2774,2020-04-22,Georgia,13,2009,837
2829,2020-04-23,Georgia,13,2090,871
2884,2020-04-24,Georgia,13,2157,889
2939,2020-04-25,Georgia,13,2222,897
2994,2020-04-26,Georgia,13,2245,907
3049,2020-04-27,Georgia,13,2322,981
3104,2020-04-28,Georgia,13,2360,1022
3159,2020-04-29,Georgia,13,2430,1086
3214,2020-04-30,Georgia,13,2543,1121
3269,2020-05-01,Georgia,13,2643,1153
3324,2020-05-02,Georgia,13,2726,1161
3379,2020-05-03,Georgia,13,2761,1168
3434,2020-05-04,Georgia,13,2835,1228
3489,2020-05-05,Georgia,13,2887,1277
3544,2020-05-06,Georgia,13,2972,1309
3599,2020-05-07,Georgia,13,3052,1332
3654,2020-05-08,Georgia,13,3108,1378
3709,2020-05-09,Georgia,13,3148,1380
3764,2020-05-10,Georgia,13,3226,1383
3819,2020-05-11,Georgia,13,3244,1420
3874,2020-05-12,Georgia,13,3331,1470
3929,2020-05-13,Georgia,13,3386,1494
3984,2020-05-14,Georgia,13,3442,1521
4039,2020-05-15,Georgia,13,3524,1563
4094,2020-05-16,Georgia,13,3565,1573
4149,2020-05-17,Georgia,13,3595,1584
4204,2020-05-18,Georgia,13,3663,1624
4259,2020-05-19,Georgia,13,3721,1650
4314,2020-05-20,Georgia,13,3816,1672
4369,2020-05-21,Georgia,13,3896,1749
4424,2020-05-22,Georgia,13,3973,1779
4479,2020-05-23,Georgia,13,4040,1794
4534,2020-05-24,Georgia,13,4098,1799
4589,2020-05-25,Georgia,13,4141,1820
4644,2020-05-26,Georgia,13,4206,1867
4699,2020-05-27,Georgia,13,4271,1904
