,date,state,fips,cases,deaths
256,2020-03-02,Georgia,13,2,0
271,2020-03-03,Georgia,13,2,0
287,2020-03-04,Georgia,13,2,0
305,2020-03-05,Georgia,13,2,0
326,2020-03-06,Georgia,13,3,0
355,2020-03-07,Georgia,13,7,0
389,2020-03-08,Georgia,13,11,0
424,2020-03-09,Georgia,13,17,0
461,2020-03-10,Georgia,13,22,0
502,2020-03-11,Georgia,13,31,0
548,2020-03-12,Georgia,13,31,1
596,2020-03-13,Georgia,13,41,1
647,2020-03-14,Georgia,13,65,1
699,2020-03-15,Georgia,13,97,1
752,2020-03-16,Georgia,13,118,1
805,2020-03-17,Georgia,13,142,1
859,2020-03-18,Georgia,13,193,3
913,2020-03-19,Georgia,13,282,10
967,2020-03-20,Georgia,13,482,14
1021,2020-03-21,Georgia,13,552,20
1075,2020-03-22,Georgia,13,620,25
1129,2020-03-23,Georgia,13,800,25
1183,2020-03-24,Georgia,13,1095,38
1237,2020-03-25,Georgia,13,1385,47
1291,2020-03-26,Georgia,13,1641,56
1345,2020-03-27,Georgia,13,2198,64
1399,2020-03-28,Georgia,13,2447,79
1454,2020-03-29,Georgia,13,2683,83
1509,2020-03-30,Georgia,13,3032,102
1564,2020-03-31,Georgia,13,4116,125
1619,2020-04-01,Georgia,13,4747,154
1674,2020-04-02,Georgia,13,5444,176
1729,2020-04-03,Georgia,13,5967,198
1784,2020-04-04,Georgia,13,6383,208
1839,2020-04-05,Georgia,13,6742,219
1894,2020-04-06,Georgia,13,7558,294
1949,2020-04-07,Georgia,13,9156,348
2004,2020-04-08,Georgia,13,10204,370
2059,2020-04-09,Georgia,13,10885,412
2114,2020-04-10,Georgia,13,11859,425
2169,2020-04-11,Georgia,13,12261,432
2224,2020-04-12,Georgia,13,12103,438
2279,2020-04-13,Georgia,13,13125,479
2334,2020-04-14,Georgia,13,13913,517
2389,2020-04-15,Georgia,13,14583,569
2444,2020-04-16,Georgia,13,15644,611
2499,2020-04-17,Georgia,13,16658,661
2554,2020-04-18,Georgia,13,17014,670
2609,2020-04-19,Georgia,13,17619,682
2664,2020-04-20,Georgia,13,18447,767
2719,2020-04-21,Georgia,13,19189,810
2774,2020-04-22,Georgia,13,20099,837
2829,2020-04-23,Georgia,13,20905,871
2884,2020-04-24,Georgia,13,21575,889
2939,2020-04-25,Georgia,13,22225,897
2994,2020-04-26,Georgia,13,22459,907
3049,2020-04-27,Georgia,13,23229,981
3104,2020-04-28,Georgia,13,23607,1022
3159,2020-04-29,Georgia,13,24300,1086
3214,2020-04-30,Georgia,13,25431,1121
3269,2020-05-01,Georgia,13,26436,1153
3324,2020-05-02,Georgia,13,27268,1161
3379,2020-05-03,Georgia,13,27618,1168
3434,2020-05-04,Georgia,13,28350,1228
3489,2020-05-05,Georgia,13,28876,1277
3544,2020-05-06,Georgia,13,29724,1309
3599,2020-05-07,Georgia,13,30524,1332
3654,2020-05-08,Georgia,13,31089,1378
3709,2020-05-09,Georgia,13,31481,1380
3764,2020-05-10,Georgia,13,32267,1383
3819,2020-05-11,Georgia,13,32448,1420
3874,2020-05-12,Georgia,13,33311,1470
3929,2020-05-13,Georgia,13,33866,1494
3984,2020-05-14,Georgia,13,34422,1521
4039,2020-05-15,Georgia,13,35242,1563
4094,2020-05-16,Georgia,13,35655,1573
4149,2020-05-17,Georgia,13,35954,1584
4204,2020-05-18,Georgia,13,36634,1624
4259,2020-05-19,Georgia,13,37214,1650
4314,2020-05-20,Georgia,13,38162,1672
4369,2020-05-21,Georgia,13,38969,1749
4424,2020-05-22,Georgia,13,39734,1779
4479,2020-05-23,Georgia,13,40408,1794
4534,2020-05-24,Georgia,13,40989,1799
4589,2020-05-25,Georgia,13,41414,1820
4644,2020-05-26,Georgia,13,42066,1867
4699,2020-05-27,Georgia,13,42713,1904
